File Name,Card,Code,Holo,Rev Holo,Year,Type,Promo,Country,Amount,Mavin Price,Ebay price,Troll&Toad Price,Subtotal
,Bellsprout,85/146,0,0,2008,Grass,0,EN,2,,,,0
,Hoppip,99/132,0,0,2007,Grass,0,EN,1,,,,0
,Ivysaur,30/120,0,0,1999,Grass,0,EN,2,2,,,4
,TEAN GALACTICS'S INVENTION G-101 Energy Gain,116/127,0,0,2009,Trainer,0,EN,1,4,,,4
,Bulbasaur,44/102,0,0,1999,Grass,0,EN,4,2,,,8
,Mr.Stone's Project,88/110,0,0,2006,Trainer,0,EN,1,,,,0
,Super Scoop Up,87/100,0,0,2008,Trainer,0,EN,1,,,,0
,Power Tree,76/92,0,0,2006,Trainer,0,EN,2,,,,0
,TV Reporter,82/101,0,0,2006,Trainer,0,EN,1,,,,0
,Poke Ball,87/115,0,0,2005,Trainer,0,EN,1,,,,0
,Quick Ball,86/100,0,0,2008,Trainer,0,EN,1,,,,0
,Nidoran,55/102,0,0,1999,Grass,0,EN,4,2,,,8
,Weedle,69/102,0,0,1999,Grass,0,EN,2,,,,0
,Golbat,34/62,0,0,1999,Grass,0,EN,2,2,,,4
,Chikorita,51/115,0,0,2005,Grass,0,EN,1,,,,0
,Scizor,25/100,0,0,2008,Grass,0,EN,1,,,,0
,Root Fossil HP 40,80/92,0,0,2006,Trainer,0,EN,1,,,,0
,Butterfree,33/64,0,0,1999,Grass,0,EN,1,2,,,2
,Copycat,73/101,0,0,2006,Trainer,0,EN,1,,,,0
,Master Ball,99/113,0,0,2005,Trainer,0,EN,1,,,,0
,Nidorino,37/102,0,0,1999,Grass,0,EN,1,2.5,,,2.5
,Venomoth,29/64,0,0,1999,Grass,0,EN,1,4,,,4
,Weedle,99/110,0,0,2002,Grass,0,EN,1,,,,0
,Bellsprout,49/64,0,0,1999,Grass,0,EN,2,2,,,4
,Energy,-,0,0,2007,Grass,0,EN,12,,,,0
,Pineco,113/146,0,0,2008,Grass,0,EN,1,,,,0
,Premier Ball,101/106,0,0,2008,Trainer,0,EN,1,,,,0
,Eevee,51/64,0,0,1999-2000,Normal,0,NL,5,,,,0
,Dragonair,28/101,0,0,2006,Grass,0,EN,1,3,,,3
,Scyther,46/100,0,0,2008,Grass,0,EN,1,,,,0
,Exeggcute,52/64,0,0,1999,Grass,0,EN,2,,,,0
,Slowpoke,73/111,0,0,1995-2000,Psychic,0,EN,1,3,,,3
,Torterra,30/100,0,0,2008,Grass,0,EN,1,,,,0
,Machoke,34/102,0,0,1999-2000,Ground,0,NL,1,,,,0
,Turtwig,77/100,0,0,2008,Grass,0,EN,1,,,,0
,Oddish,11/146,0,0,2008,Grass,0,EN,1,,,,0
,Bulbasaur,68/110,0,0,2002,Grass,0,EN,1,,,,0
,Mew,8,0,0,1999-2000,Psychic,1,EN,1,20,,,20
,Nincada,108/146,0,0,2008,Grass,0,EN,1,,,,0
,Grotle,37/100,0,0,2008,Grass,0,EN,1,,,,0
,Energy,127/130,0,0,2007,Psychic,0,EN,3,,,,0
,Energy,-,0,0,2005,Psychic,0,EN,1,,,,0
,Ho-Oh,27/115,0,0,2005,Fire,0,EN,1,8,,,8
,Drowzee,54/82,0,0,1999-2000,Psychic,0,EN,1,,,,0
,Energy,-,0,0,2006,Psychic,0,EN,1,,,,0
,Drowzee 1st,49/102,0,0,1999-2000,Psychic,0,EN,1,35,,,35
,Drifloon,61/100,0,0,2008,Psychic,0,EN,1,,,,0
,Mime Jr.,90/130,0,0,2007,Psychic,0,EN,1,,,,0
,Geodude,47/62,0,0,1999,Ground,0,EN,1,,,,0
,Grumpig,56/146,0,0,2008,Psychic,0,EN,1,,,,0
,Drifblim,53/146,0,0,2008,Psychic,0,EN,1,,,,0
,Gloom,97/146,0,0,2008,Psychic,0,EN,1,,,,0
,Spoink,121/146,0,0,2008,Psychic,0,EN,1,,,,0
,Bellsprout,66/130,0,0,1999-2000,Grass,0,EN,1,,,,0
,Skorupi,99/130,0,0,2007,Psychic,0,EN,1,,,,0
,Gastly,33/62,0,0,1999,Psychic,0,EN,1,2,,,2
,Duskull,60/100,0,0,2008,Psychic,0,EN,1,,,,0
,Budew,33/100,0,0,2008,Psychic,0,EN,1,,,,0
,Girafarig,58/111,0,0,1995-2000,Psychic,0,EN,1,,,,0
,Bellsprout,49/64,0,0,1999-2000,Grass,0,NL,2,,,,0
,Zubat,57/62,0,0,1999,Grass,0,EN,7,,,,0
,Energy,129/130,0,0,1999-2000,Psychic,0,EN,1,,,,0
,Golbat,34/62,0,0,1999,Grass,0,EN,3,,,,0
,Paras,59/64,0,0,1999,Grass,0,EN,3,,,,0
,Quilava,36/101,0,0,2006,Psychic,0,EN,1,,,,0
,Abra,43/102,0,0,1999,Psychic,0,EN,1,,,,0
,Nidoran,82/110,0,0,2002,Grass,0,EN,1,,,,0
,Nidoran,57/64,0,0,1999,Grass,0,EN,2,2,,,4
,Energy,-,0,0,2007,Fire,0,EN,1,,,,0
,Energy,10/10,0,0,2004,Fire,0,EN,1,,,,0
,Oddish,63/82,0,0,1999-2000,Grass,0,EN,2,20,,,40
,Energie,98/102,0,0,1999-2000,Fire,0,EN,1,,,,0
,Oddish,58/64,0,0,1999,Grass,0,EN,2,5,,,10
,Parasect,41/64,0,0,1999,Grass,0,EN,2,,,,0
,Energy,-,0,0,2005,Fire,0,EN,1,,,,0
,Vulpix ,107/123,0,0,2007,Fire,0,EN,1,,,,0
,Magcargo,45/106,0,0,2008,Fire,0,EN,1,,,,0
,Charmander,82/132,0,0,2007,Fire,0,EN,1,,,,0
,Parasect,41/64,0,0,1999-2000,Grass,0,NL,1,,,,0
,Zubat,57/62,0,0,1999-2000,Grass,0,NL,1,,,,0
,Zubat,59/64,0,0,1995-2000,Grass,0,EN,1,4,,,4
,Chameleon,46/132,0,0,2007,Fire,0,EN,1,,,,0
,Slugma,83/106,0,0,2008,Fire,0,EN,1,,,,0
,Zubat,70/82,0,0,1999-2000,Grass,0,EN,1,20,,,20
,Hoppip,55/75,0,0,1995-2001,Grass,0,EN,1,,,,0
,Houndour,69/106,0,0,2008,Fire,0,EN,1,,,,0
,Monferno,41/100,0,0,2008,Fire,0,EN,1,,,,0
,Skiploom,52/64,0,0,1995-2000,Grass,0,EN,1,15,,,15
,Growlithe,89/132,0,0,2007,Fire,0,EN,1,,,,0
,Chimchar,56/100,0,0,2008,Fire,0,EN,1,,,,0
,Arbok,13/101,0,0,2006,Fire,0,EN,1,2,,,2
,Skiploom,49/111,0,0,1995-2000,Grass,0,EN,1,,,,0
,Torkoal,41/146,0,0,2008,Fire,0,EN,1,,,,0
,Energy,11/11,0,0,2007,Ground,0,EN,7,,,,0
,Weepinbell,48/64,0,0,1999,Grass,0,EN,1,2,,,2
,Marowak,63/146,0,0,2008,Ground,0,EN,1,,,,0
,Onix,69/100,0,0,2008,Ground,0,EN,1,,,,0
,Weepinbell,48/64,0,0,1999,Grass,0,NL,1,,,,0
,Tangela,66/102,0,0,1999,Grass,0,EN,1,2,,,2
,Pupitar,47/100,0,0,2008,Ground,0,EN,1,,,,0
,Tangela,66/102,0,0,1999-2000,Grass,0,NL,1,,,,0
,Mankey,55/64,0,0,1999-2000,Ground,0,NL,1,,,,0
,Spinarak,75/111,0,0,1995-2000,Grass,0,NEN,1,,,,0
,Gliscor,5/146,0,0,2008,Ground,0,NL,1,,,,0
,Cubone,90/146,0,0,2008,Ground,0,EN,1,,,,0
,Gliscor,55/146,0,0,2008,Ground,0,EN,1,,,,0
,Sharpedo,53/110,0,0,2006,Ground,0,EN,1,,,,0
,Anorith,26/108,0,0,2007,Ground,0,EN,1,,,,0
,Machop,53/108,0,0,2007,Ground,0,EN,1,,,,0
,Golem,36/62,0,0,1999,Ground,0,EN,1,2,,,2
,Spinarak,64/75,0,0,1995-2001,Grass,0,EN,1,,,,0
,Gligar,94/146,0,0,2008,Ground,0,EN,1,,,,0
,Gliscor,55/146,0,0,2008,Ground,0,EN,1,,,,0
,Ariados,27/111,0,0,1995-2000,Grass,0,EN,1,,,,0
,Kabuto,67/100,0,0,2008,Ground,0,EN,1,,,,0
,Ledyba,63/111,0,0,1995-2000,Grass,0,EN,1,,,,0
,Ledyba,71/105,0,0,1995-2000,Grass,0,EN,1,3,,,3
,Shedinja,40/146,0,1,2008,Grass,0,EN,1,,,,0
,Ledian,39/111,0,0,1995-2000,Grass,0,EN,1,,,,0
,Kangaskhan,38/100,0,1,2008,Normal,0,EN,1,2,,,2
,Salamence,8/99,1,0,2009,Normal,0,EN,1,5,,,5
,Bulbasaur,44/102,0,0,1999-2000,Grass,0,NL,1,,,,0
,Paras,85/130,0,0,1999-2000,Grass,0,EN,1,2,,,2
,Energy,-,1,0,2007,Psychic,0,EN,1,,,,0
,Solrock,47/107,1,0,2005,Psychic,0,EN,1,5,,,5
,Paras,59/64,0,0,1999-2000,Grass,0,NL,1,,,,0
,Parasect,35/64,0,0,1995-2000,Grass,0,EN,1,10,,,10
,Conductive Quarry,82/100,0,1,2008,Stadium,0,EN,1,2,,,2
,Nidorina,40/64,0,0,1999,Grass,0,EN,1,,,,0
,Nidorina,40/64,0,0,1999,Grass,0,NL,1,,,,0
,Nidoran,57/64,0,0,1999,Grass,0,NL,1,,,,0
,Nidorino,55/147,0,0,2002,Grass,0,EN,1,,,,0
,Nidorino,37/102,0,0,1999,Grass,0,EN,1,10,,,10
,Oddish,58/64,0,0,1999,Grass,0,NL,1,,,,0
,Gloom,37/64,0,0,1999,Grass,0,EN,1,10,,,10
,Vileplume,31/64,0,0,1999,Grass,0,EN,1,10,,,10
,Dark Gloom,36/82,0,0,1999-2000,Grass,0,EN,1,15,,,15
,Grimer,48/62,0,0,1999,Grass,0,NL,1,,,,0
,Potion,118/130,0,1,2007,Trainer,0,EN,1,,,,0
,Grimer,57/82,0,0,1999-2000,Grass,0,EN,1,4,,,4
,Sabrina's Venonat,96/132,0,0,1999-2000,Grass,0,EN,1,,,,0
,Energy Recycle System,73/108,1,0,2007,Trainer,0,EN,1,5,,,5
,Venonat,63/64,0,0,1999,Grass,0,NL,1,,,,0
,Weedle,69/102,0,0,1999-2000,Grass,0,EN,1,2,,,2
,Simisage,6/162,0,1,2015,Grass,0,EN,1,,,,0
,Kakuna,33/102,0,0,1999-2000,Grass,0,NL,2,,,,0
,Seaking,62/130,0,1,2007,Water,0,EN,1,3,,,3
,Kakuna,41/75,0,0,1995-2000,Grass,0,EN,1,,,,0
,Beedrill,17/102,0,0,1999,Grass,0,EN,2,10,,,20
,Caterpie,68/130,0,0,1999-2000,Grass,0,EN,2,10,,,20
,Light Flareon,46/105,0,0,1995-2000,Fire,0,EN,1,10,,,10
,Metapot,54/102,0,0,1999,Grass,0,EN,3,10,,,30
,Flareon,19/64,0,0,1999,Fire,0,EN,1,8,,,8
,Butterfree,33/64,0,0,1999,Grass,0,EN,1,5,,,5
,Charmander,No.004,0,0,1996,Fire,0,JP,1,3,,,3
,Butterfree,33/64,0,0,1999,Grass,0,NL,1,,,,0
,Caterpie,54/102,0,0,1999,Grass,0,EN,2,30,,,60
,Weedle,69/102,0,0,1999-2000,Grass,0,NL,1,,,,0
,Girafarig,No.203,0,0,1996,Psychic,0,JP,1,2,,,2
,Tauros,No.128,0,0,1996,Normal,0,JP,1,,,,0
,Cloyster,32/62,0,0,1999,Water,0,EN,2,,,,0
,Pidgey,No.016,0,0,1996,Normal,0,JP,1,,,,0
,Sleep team rocket Snorlax,-,0,0,1996,Trainer,0,JP,1,10,,,10
,Tentacruel,44/62,0,0,1999,Water,0,EN,1,,,,0
,Helix fossil,91/100,0,0,2008,Trainer,0,EN,1,,,,0
,Tentacool,56/62,0,0,1999,Water,0,EN,4,,,,0
,Seadra,42/62,0,0,1999,Water,0,EN,5,,,,0
,Horsea,49/62,0,0,1999,Water,0,EN,5,,,,0
,Seaking,46/64,0,0,1999,Water,0,EN,1,,,,0
,Eevee,51/64,0,0,1999,Normal,0,EN,1,8,,,8
,Goldeen,53/64,0,0,1999,Water,0,EN,1,,,,0
,Omastar,40/62,0,0,1999,Water,0,EN,2,,,,0
,Leafeon,45/111,0,0,2009,Grass,0,EN,1,2,,,2
,Omastar,58/110,0,0,2992,Water,0,EN,1,,,,0
,Omanyte,52/62,0,0,1999,Water,0,EN,4,,,,0
,Wartortle,42/102,0,0,1999,Water,0,EN,1,20,,,20
,Squirtle,68/82,0,0,1999-2000,Water,0,EN,1,30,,,30
,Eevee,55/82,0,0,1999-2000,Normal,0,EN,1,2,,,2
,Squirtle,63/102,0,0,1999,Water,0,EN,1,,,,0
,Squirtle,63/102,0,0,1999-2000,Water,0,NL,2,,,,0
,Seel,41/102,0,0,1999,Water,0,EN,2,,,,0
,Poliwhirl,38/102,0,0,1999-2000,Water,0,NL,3,,,,0
,Kingler,38/62,0,0,1999,Water,0,EN,2,,,,0
,Umbreon,24/100,0,0,2003,Dark,0,EN,1,10,,,10
,Krabby,51/62,0,0,1999,Water,0,EN,8,,,,0
,Psyduck,53/62,0,0,1999,Water,0,EN,4,,,,0
,Golduck,35/62,0,0,1999,Water,0,EN,2,,,,0
,Dewgong,40/110,0,0,2002,Water,0,EN,1,,,,0
,Poliwag,59/102,0,0,1999,Water,0,EN,,,,,0
,Poliwag,59/102,0,0,1999-2000,Water,0,NL,4,,,,0
,Staryu,95/130,0,0,1999-2000,Water,0,EN,1,20,,,20
,Staryu,65/102,0,0,1999,Water,0,EN,1,,,,0
,Eevee,69/113,0,0,2005,Normal,0,EN,1,3,,,3
,Staryu,65/102,0,0,1999,Water,0,NL,1,,,,0
,Starmie,64/102,0,0,1999,Water,0,EN,2,20,,,40
,Starmie,64/102,0,0,1999,Water,0,FR,1,,,,0
,Power tree,76/92,1,0,2006,Trainer,0,EN,1,4,,,4
,Poke Radar,133/146,0,0,2008,Trainer,0,EN,1,,,,0
,Moltres,27/62,0,0,1999,Fire,0,EN,1,5,,,5
,Energy Search,90/100,0,0,2008,Trainer,0,EN,1,,,,0
,Dusk Ball,80/100,0,0,2008,Trainer,0,EN,1,,,,0
,Special Energy,115/124,0,0,2016,Ground,0,EN,1,2,,,2
,Energy Restore,106/130,0,0,2007,Trainer,0,EN,1,,,,0
,Double Full Heal,105/130,0,0,2007,Trainer,0,EN,1,,,,0
,Bubble Coat,129/146,0,0,2008,Trainer,0,EN,1,,,,0
,Glalie Spirit Link,139/162,0,0,2015,Trainer,0,EN,1,,,,0
,Cinccino,89/124,0,0,2016,Normal,0,EN,1,,,,0
,Helix Fossil Omanyte,102/124,0,0,2016,Trainer ,0,EN,1,,,,0
,Machamp,8/102,1,0,1999,Ground,0,EN,2,15,,,30
,Aerodactyl,1/62,1,0,1999,Ground,0,EN,1,30,,,30
,Doduo,116/162,0,0,2015,Normal,0,EN,1,,,,0
,Goldeen,84/130,0,0,2007,Water,0,EN,1,,,,0
,Deerling,8/124,0,0,2016,Grass,0,EN,1,,,,0
,Cacnea,4/162,0,0,2015,Grass,0,EN,1,,,,0
,Paras,1/162,0,0,2015,Grass,0,EN,1,,,,0
,Gastly,58/162,0,0,2015,Psychic,0,EN,1,,,,0
,Bronzor,60/124,0,0,2016,Metal,0,EN,1,,,,0
,Fennekin,10/124,0,0,2016,Fire,0,EN,1,,,,0
,Spritzee,105/162,0,0,2015,Fairy,0,EN,1,,,,0
,Mr. Mime,67/124,0,0,2016,Fairy,0,EN,1,,,,0
,Cacturne,88/162,0,0,2015,Dark,0,EN,1,,,,0
,Seaking,28/162,0,0,2015,Water,0,EN,1,,,,0
,Riolu,46/124,0,0,2016,Ground,0,EN,1,,,,0
,Goldeen,3/12,0,0,2007,Water,0,EN,2,,,,0
,Carbink,50/124,0,0,2016,Ground,0,EN,1,,,,0
,Gorebyss,38/106,0,0,2008,Water,0,EN,1,,,,0
,Marshtomp,46/106,0,0,2008,Water,0,EN,1,,,,0
,Totodile,8/12,0,0,2007,Water,0,EN,1,,,,0
,Staryu,122/146,0,0,2008,Water,0,EN,1,,,,0
,Buizel,1/12,0,0,2007,Water,0,EN,2,,,,0
,Buizel,61/106,0,0,2008,Water,0,EN,1,,,,0
,Staryu,84/113,0,0,2005,Water,0,EN,2,,,,0
,Buizel,72/130,0,0,2007,Water,0,EN,2,,,,0
,Krabby,75/106,0,0,2008,Water,0,EN,1,,,,0
,Omanyte,69/100,0,0,2008,Water,0,EN,1,,,,0
,Feebas,67/106,0,0,2008,Water,0,EN,1,,,,0
,Piplup,93/130,0,0,2007,Water,0,EN,1,,,,0
,Piplup,5/12,0,0,2007,Water,0,EN,2,,,,0
,Pineco,66/115,0,0,2005,Grass,0,EN,2,,,,0
,Pineco,71/97,0,1,2003,Grass,0,EN,1,70,,,70
,Dratini,46/101,1,0,2006,Grass,0,EN,1,4,,,4
,Seedot,76/100,0,0,2003,Grass,0,EN,1,,,,0
,Seedot,60/100,0,0,2006,Grass,0,EN,1,,,,0
,Seedot,97/130,0,0,2007,Grass,0,EN,1,,,,0
,Seedot,61/92,0,0,2006,Grass,0,EN,1,,,,0
,Dratini,46/101,0,0,2006,Grass,0,EN,2,,,,0
,Treecko,76/109,0,0,2003,Grass,0,EN,1,,,,0
,Treecko,90/106,0,0,2008,Grass,0,EN,1,,,,0
,Turtwig,103/130,0,0,2007,Grass,0,EN,1,,,,0
,Beedrill,13/106,0,0,2008,Grass,0,EN,1,,,,0
,Weedle,93/106,0,0,2008,Grass,0,EN,2,,,,0
,Weedle,87/113,0,0,2005,Grass,0,EN,1,,,,0
,Surskit,82/110,1,0,2006,Grass,0,EN,1,5,,,5
,Energy,-,0,0,2005,Grass,0,EN,2,,,,0
,Energy,-,0,0,2007,Grass,0,EN,2,,,,0
,Koffing,51/102,0,0,1999,Grass,0,EN,3,,,,0
,Koffing,58/82,0,0,1999-2000,Grass,0,EN,3,,,,0
,Chikorita,54/111,0,0,1995-2000,Grass,0,EN,1,,,,0
,Chikorita,53/111,0,0,1995-2000,Grass,0,EN,1,,,,0
,Quagsire,60/132,0,0,2007,Water,0,EN,1,,,,0
,Arbok,31/62,0,0,1999,Grass,0,EN,6,,,,0
,Scyther,55/105,0,0,1995-2000,Grass,0,EN,1,,,,0
,Erika's Weepinbell,48/132,0,0,1999-2000,Grass,0,EN,1,,,,0
,Grotle,37/100,0,1,2008,Grass,0,EN,1,,,,0
,Cacnea,62/106,0,0,2008,Grass,0,EN,2,,,,0
,Cacnea,58/100,0,0,2003,Grass,0,EN,1,,,,0
,Golbat,43/113,0,0,2005,Grass,0,EN,1,,,,0
,Metapod,47/106,0,0,2008,Grass,0,EN,1,,,,0
